Strng:waking up<count> Count:280<count> Probability:0.0
Strng:being ignored<count> Count:276<count> Probability:0.0
Strng:being sick<count> Count:124<count> Probability:0.0
Strng:coming home<count> Count:118<count> Probability:0.0
Strng:going to<count> Count:91<count> Probability:0.0
Strng:having to<count> Count:50<count> Probability:0.0
Strng:being woken<count> Count:48<count> Probability:0.0
Strng:spending my<count> Count:48<count> Probability:0.0
Strng:having a<count> Count:46<count> Probability:0.0
Strng:people who<count> Count:44<count> Probability:0.0
Strng:being lied<count> Count:38<count> Probability:0.0
Strng:being home<count> Count:38<count> Probability:0.0
Strng:sitting in<count> Count:36<count> Probability:0.0
Strng:getting up<count> Count:36<count> Probability:0.0
Strng:being called<count> Count:36<count> Probability:0.0
Strng:being up<count> Count:33<count> Probability:0.0
Strng:being told<count> Count:30<count> Probability:0.0
Strng:feeling like<count> Count:29<count> Probability:0.0
Strng:being a<count> Count:29<count> Probability:0.0
Strng:being the<count> Count:29<count> Probability:0.0
Strng:being in<count> Count:28<count> Probability:0.0
Strng:listening to<count> Count:28<count> Probability:0.0
Strng:being stuck<count> Count:28<count> Probability:0.0
Strng:doing homework<count> Count:26<count> Probability:0.0
Strng:being left<count> Count:26<count> Probability:0.0
Strng:working on<count> Count:25<count> Probability:0.0
Strng:getting ignored<count> Count:24<count> Probability:0.0
Strng:being treated<count> Count:24<count> Probability:0.0
Strng:sitting at<count> Count:22<count> Probability:0.0
Strng:being at<count> Count:22<count> Probability:0.0
Strng:getting sick<count> Count:22<count> Probability:0.0
Strng:walking home<count> Count:20<count> Probability:0.0
Strng:being able<count> Count:20<count> Probability:0.0
Strng:being alone<count> Count:19<count> Probability:0.0
Strng:getting ditched<count> Count:18<count> Probability:0.0
Strng:living in<count> Count:18<count> Probability:0.0
Strng:being awake<count> Count:18<count> Probability:0.0
Strng:getting yelled<count> Count:18<count> Probability:0.0
Strng:getting my<count> Count:17<count> Probability:0.0
Strng:being on<count> Count:17<count> Probability:0.0
Strng:waiting for<count> Count:17<count> Probability:0.0
Strng:taking care<count> Count:16<count> Probability:0.0
Strng:fighting with<count> Count:15<count> Probability:0.0
Strng:staying up<count> Count:15<count> Probability:0.0
Strng:being ditched<count> Count:14<count> Probability:0.0
Strng:being talked<count> Count:14<count> Probability:0.0
Strng:doing nothing<count> Count:14<count> Probability:0.0
Strng:walking to<count> Count:14<count> Probability:0.0
Strng:finding out<count> Count:14<count> Probability:0.0
Strng:talking to<count> Count:14<count> Probability:0.0
Strng:being invited<count> Count:14<count> Probability:0.0
Strng:getting woken<count> Count:14<count> Probability:0.0
Strng:being locked<count> Count:14<count> Probability:0.0
Strng:people that<count> Count:14<count> Probability:0.0
Strng:being single<count> Count:14<count> Probability:0.0
Strng:getting called<count> Count:14<count> Probability:0.0
Strng:having my<count> Count:13<count> Probability:0.0
Strng:working in<count> Count:13<count> Probability:0.0
Strng:being used<count> Count:12<count> Probability:0.0
Strng:writing essays<count> Count:12<count> Probability:0.0
Strng:paying bills<count> Count:12<count> Probability:0.0
Strng:getting home<count> Count:12<count> Probability:0.0
Strng:starting my<count> Count:12<count> Probability:0.0
Strng:having nothing<count> Count:12<count> Probability:0.0
Strng:getting a<count> Count:12<count> Probability:0.0
Strng:staying home<count> Count:12<count> Probability:0.0
Strng:having no<count> Count:11<count> Probability:0.0
Strng:getting {number}<count> Count:11<count> Probability:0.0
Strng:coming to<count> Count:11<count> Probability:0.0
Strng:getting ready<count> Count:10<count> Probability:0.0
Strng:being forced<count> Count:10<count> Probability:0.0
Strng:getting off<count> Count:10<count> Probability:0.0
Strng:looking at<count> Count:10<count> Probability:0.0
Strng:learning about<count> Count:10<count> Probability:0.0
Strng:waiting in<count> Count:10<count> Probability:0.0
Strng:watching the<count> Count:10<count> Probability:0.0
Strng:working {number}<count> Count:9<count> Probability:0.0
Strng:walking into<count> Count:9<count> Probability:0.0
Strng:spending time<count> Count:8<count> Probability:0.0
Strng:having practice<count> Count:8<count> Probability:0.0
Strng:seeing people<count> Count:8<count> Probability:0.0
Strng:hearing about<count> Count:8<count> Probability:0.0
Strng:dealing with<count> Count:8<count> Probability:0.0
Strng:being reminded<count> Count:8<count> Probability:0.0
Strng:getting invited<count> Count:8<count> Probability:0.0
Strng:having the<count> Count:8<count> Probability:0.0
Strng:walking in<count> Count:8<count> Probability:0.0
Strng:spending {number}<count> Count:8<count> Probability:0.0
Strng:getting made<count> Count:8<count> Probability:0.0
Strng:working doubles<count> Count:8<count> Probability:0.0
Strng:texting people<count> Count:8<count> Probability:0.0
Strng:getting hit<count> Count:8<count> Probability:0.0
Strng:being late<count> Count:8<count> Probability:0.0
Strng:throwing up<count> Count:8<count> Probability:0.0
Strng:being an<count> Count:8<count> Probability:0.0
Strng:getting screwed<count> Count:8<count> Probability:0.0
Strng:being taken<count> Count:8<count> Probability:0.0
Strng:hearing my<count> Count:8<count> Probability:0.0
Strng:getting blown<count> Count:8<count> Probability:0.0
Strng:being woke<count> Count:8<count> Probability:0.0
Strng:doing {number}<count> Count:7<count> Probability:0.0
Strng:studying for<count> Count:7<count> Probability:0.0
Strng:driving in<count> Count:7<count> Probability:0.0
Strng:hearing the<count> Count:7<count> Probability:0.0
Strng:hanging out<count> Count:7<count> Probability:0.0
Strng:trying to<count> Count:7<count> Probability:0.0
Strng:working with<count> Count:6<count> Probability:0.0
Strng:doing math<count> Count:6<count> Probability:0.0
Strng:getting bad<count> Count:6<count> Probability:0.0
Strng:having bad<count> Count:6<count> Probability:0.0
Strng:taking tests<count> Count:6<count> Probability:0.0
Strng:being yelled<count> Count:6<count> Probability:0.0
Strng:texting someone<count> Count:6<count> Probability:0.0
Strng:running late<count> Count:6<count> Probability:0.0
Strng:getting kicked<count> Count:6<count> Probability:0.0
Strng:working until<count> Count:6<count> Probability:0.0
Strng:being surrounded<count> Count:6<count> Probability:0.0
Strng:smelling like<count> Count:6<count> Probability:0.0
Strng:getting locked<count> Count:6<count> Probability:0.0
Strng:doing laundry<count> Count:6<count> Probability:0.0
Strng:getting played<count> Count:6<count> Probability:0.0
Strng:getting no<count> Count:6<count> Probability:0.0
Strng:getting to<count> Count:6<count> Probability:0.0
Strng:getting phone<count> Count:6<count> Probability:0.0
Strng:being {number}<count> Count:6<count> Probability:0.0
Strng:having bruises<count> Count:6<count> Probability:0.0
Strng:being wide<count> Count:6<count> Probability:0.0
Strng:sleeping on<count> Count:6<count> Probability:0.0
Strng:being accused<count> Count:6<count> Probability:0.0
Strng:knowing that<count> Count:6<count> Probability:0.0
Strng:waiting at<count> Count:6<count> Probability:0.0
Strng:having homework<count> Count:6<count> Probability:0.0
Strng:seeing the<count> Count:6<count> Probability:0.0
Strng:getting texts<count> Count:6<count> Probability:0.0
Strng:writing papers<count> Count:6<count> Probability:0.0
Strng:being stood<count> Count:6<count> Probability:0.0
Strng:being hit<count> Count:6<count> Probability:0.0
Strng:getting punched<count> Count:6<count> Probability:0.0
Strng:getting hate<count> Count:6<count> Probability:0.0
Strng:being blamed<count> Count:6<count> Probability:0.0
Strng:doing lab<count> Count:6<count> Probability:0.0
Strng:getting the<count> Count:6<count> Probability:0.0
