Strng:waking up<count> Count:280<count> Probability:0.7906977
Strng:being ignored<count> Count:276<count> Probability:0.9598214
Strng:being sick<count> Count:124<count> Probability:0.76258993
Strng:coming home<count> Count:118<count> Probability:0.7222222
Strng:going to<count> Count:91<count> Probability:0.2521127
Strng:having to<count> Count:50<count> Probability:0.5714286
Strng:being woken<count> Count:48<count> Probability:1.0
Strng:spending my<count> Count:48<count> Probability:0.9072165
Strng:having a<count> Count:46<count> Probability:0.38512036
Strng:people who<count> Count:44<count> Probability:0.27868852
Strng:being lied<count> Count:38<count> Probability:0.9318182
Strng:being home<count> Count:38<count> Probability:0.7894737
Strng:sitting in<count> Count:36<count> Probability:0.5915493
Strng:getting up<count> Count:36<count> Probability:0.6296296
Strng:being called<count> Count:36<count> Probability:0.6923077
Strng:being up<count> Count:33<count> Probability:0.84313726
Strng:being told<count> Count:30<count> Probability:0.7586207
Strng:feeling like<count> Count:29<count> Probability:0.4954955
Strng:being a<count> Count:29<count> Probability:0.45784694
Strng:being the<count> Count:29<count> Probability:0.57723576
Strng:being in<count> Count:28<count> Probability:0.4968153
Strng:listening to<count> Count:28<count> Probability:0.20654912
Strng:being stuck<count> Count:28<count> Probability:0.83870965
Strng:doing homework<count> Count:26<count> Probability:0.6712329
Strng:being left<count> Count:26<count> Probability:0.95238096
Strng:working on<count> Count:25<count> Probability:0.4915254
Strng:getting ignored<count> Count:24<count> Probability:1.0
Strng:being treated<count> Count:24<count> Probability:0.8181818
Strng:sitting at<count> Count:22<count> Probability:0.8
Strng:being at<count> Count:22<count> Probability:0.60294116
Strng:getting sick<count> Count:22<count> Probability:0.45652175
Strng:walking home<count> Count:20<count> Probability:0.64
Strng:being able<count> Count:20<count> Probability:0.6699029
Strng:being alone<count> Count:19<count> Probability:0.6875
Strng:getting ditched<count> Count:18<count> Probability:0.9166667
Strng:living in<count> Count:18<count> Probability:0.40789473
Strng:being awake<count> Count:18<count> Probability:0.9375
Strng:getting yelled<count> Count:18<count> Probability:0.78571427
Strng:getting my<count> Count:17<count> Probability:0.4329897
Strng:being on<count> Count:17<count> Probability:0.51898736
Strng:waiting for<count> Count:17<count> Probability:0.23809524
Strng:taking care<count> Count:16<count> Probability:0.5
