Strng:waking up at<count> Count:72<count> Probability:0.84444445
Strng:coming home to<count> Count:62<count> Probability:0.8
Strng:waking up to<count> Count:47<count> Probability:0.8111111
Strng:being woken up<count> Count:44<count> Probability:1.0
Strng:waking up early<count> Count:43<count> Probability:0.91071427
Strng:being lied to<count> Count:28<count> Probability:0.9318182
Strng:being ignored by<count> Count:26<count> Probability:0.8947368
Strng:being home alone<count> Count:22<count> Probability:0.875
Strng:going to the<count> Count:21<count> Probability:0.33802816
Strng:being treated like<count> Count:20<count> Probability:0.875
Strng:coming home and<count> Count:20<count> Probability:0.84615386
Strng:being able to<count> Count:20<count> Probability:0.67156863
Strng:being ignored it's<count> Count:18<count> Probability:1.0
Strng:getting yelled at<count> Count:18<count> Probability:0.84615386
Strng:sitting at home<count> Count:17<count> Probability:0.94736844
Strng:waking up in<count> Count:17<count> Probability:0.7027027
Strng:taking care of<count> Count:16<count> Probability:0.5294118
Strng:coming home from<count> Count:16<count> Probability:0.6956522
Strng:getting woken up<count> Count:14<count> Probability:0.7692308
Strng:going to bed<count> Count:14<count> Probability:0.255
Strng:being stuck in<count> Count:14<count> Probability:1.0
Strng:waking up and<count> Count:12<count> Probability:0.84615386
Strng:getting up at<count> Count:12<count> Probability:0.75
Strng:being in the<count> Count:12<count> Probability:0.5862069
Strng:being sick and<count> Count:12<count> Probability:0.8
Strng:being called a<count> Count:12<count> Probability:0.8333333
Strng:having nothing to<count> Count:12<count> Probability:0.875
Strng:getting up early<count> Count:12<count> Probability:0.92
Strng:being left out<count> Count:12<count> Probability:1.0
Strng:being up at<count> Count:11<count> Probability:0.9285714
Strng:being ignored makes<count> Count:10<count> Probability:1.0
Strng:being talked to<count> Count:10<count> Probability:1.0
Strng:being ignored i<count> Count:10<count> Probability:0.93939394
Strng:being locked out<count> Count:10<count> Probability:0.9
Strng:walking home in<count> Count:10<count> Probability:1.0
Strng:being ignored best<count> Count:10<count> Probability:1.0
Strng:doing nothing on<count> Count:10<count> Probability:1.0
Strng:waking up with<count> Count:10<count> Probability:0.7083333
Strng:being forced to<count> Count:10<count> Probability:0.6666667
Strng:going to sleep<count> Count:10<count> Probability:0.17857143
Strng:going to work<count> Count:9<count> Probability:0.53333336
Strng:waking up {number}<count> Count:9<count> Probability:0.01
Strng:being up this<count> Count:9<count> Probability:0.7692308
Strng:being the only<count> Count:9<count> Probability:0.875
Strng:waking up for<count> Count:9<count> Probability:0.71428573
Strng:starting my day<count> Count:9<count> Probability:0.9285714
Strng:going to school<count> Count:8<count> Probability:0.21428572
Strng:being left alone<count> Count:8<count> Probability:1.0
Strng:getting blown off<count> Count:8<count> Probability:1.0
Strng:being awake at<count> Count:8<count> Probability:1.0
Strng:being invited places<count> Count:8<count> Probability:1.0
Strng:living in the<count> Count:8<count> Probability:0.5416667
Strng:being at the<count> Count:8<count> Probability:0.5555556
Strng:being woke up<count> Count:8<count> Probability:0.6666667
Strng:waking up every<count> Count:8<count> Probability:0.8181818
Strng:working in the<count> Count:8<count> Probability:0.64705884
Strng:getting screwed over<count> Count:8<count> Probability:0.75
Strng:being told to<count> Count:8<count> Probability:0.71428573
Strng:getting ready for<count> Count:8<count> Probability:0.39534885
Strng:getting made fun<count> Count:8<count> Probability:1.0
Strng:being ignored #not<count> Count:8<count> Probability:1.0
Strng:working on a<count> Count:8<count> Probability:0.5652174
Strng:being ignored it<count> Count:8<count> Probability:1.0
Strng:being called fat<count> Count:8<count> Probability:1.0
Strng:sitting in the<count> Count:8<count> Probability:0.45652175
Strng:people who think<count> Count:7<count> Probability:0.4
Strng:feeling like this<count> Count:7<count> Probability:0.71428573
Strng:spending my saturday<count> Count:7<count> Probability:1.0
Strng:getting up this<count> Count:7<count> Probability:0.9
Strng:feeling like shit<count> Count:7<count> Probability:0.8125
Strng:sitting in my<count> Count:7<count> Probability:0.5714286
Strng:feeling like i'm<count> Count:7<count> Probability:0.8333333
Strng:waiting at the<count> Count:6<count> Probability:0.875
Strng:being blamed for<count> Count:6<count> Probability:1.0
Strng:staying up late<count> Count:6<count> Probability:0.3846154
Strng:being stuck at<count> Count:6<count> Probability:0.8
Strng:being wide awake<count> Count:6<count> Probability:1.0
Strng:being sick it<count> Count:6<count> Probability:1.0
Strng:having to be<count> Count:6<count> Probability:0.85714287
Strng:being sick on<count> Count:6<count> Probability:1.0
Strng:being ignored thank<count> Count:6<count> Probability:1.0
Strng:being late to<count> Count:6<count> Probability:0.71428573
Strng:being sick it's<count> Count:6<count> Probability:1.0
Strng:being surrounded by<count> Count:6<count> Probability:0.8333333
Strng:being lied too<count> Count:6<count> Probability:1.0
Strng:getting locked out<count> Count:6<count> Probability:1.0
Strng:watching scary movies<count> Count:6<count> Probability:0.75
Strng:being yelled at<count> Count:6<count> Probability:0.7777778
Strng:being sick all<count> Count:6<count> Probability:1.0
Strng:being reminded of<count> Count:6<count> Probability:1.0
Strng:being stood up<count> Count:6<count> Probability:1.0
Strng:getting phone calls<count> Count:6<count> Probability:0.8
Strng:being home so<count> Count:6<count> Probability:1.0
Strng:taking cold showers<count> Count:6<count> Probability:1.0
Strng:fighting with my<count> Count:6<count> Probability:0.6923077
Strng:being taken advantage<count> Count:6<count> Probability:0.8333333
Strng:getting bad news<count> Count:6<count> Probability:1.0
Strng:doing homework on<count> Count:6<count> Probability:1.0
Strng:getting invited to<count> Count:6<count> Probability:1.0
Strng:getting off work<count> Count:6<count> Probability:1.0
Strng:getting home at<count> Count:6<count> Probability:1.0
Strng:waiting in the<count> Count:5<count> Probability:0.9166667
Strng:listening to people<count> Count:5<count> Probability:0.54545456
Strng:dropping my phone<count> Count:5<count> Probability:0.71428573
Strng:waking up this<count> Count:5<count> Probability:0.7
Strng:hanging out with<count> Count:5<count> Probability:0.46153846
Strng:spending my friday<count> Count:5<count> Probability:1.0
Strng:getting {number} hours<count> Count:5<count> Probability:0.01
Strng:being screwed over<count> Count:4<count> Probability:1.0
Strng:being exhausted but<count> Count:4<count> Probability:1.0
Strng:being up early<count> Count:4<count> Probability:1.0
Strng:being dehydrated fatigued<count> Count:4<count> Probability:1.0
Strng:meeting guys at<count> Count:4<count> Probability:1.0
Strng:scoring last minute<count> Count:4<count> Probability:1.0
Strng:getting chewed out<count> Count:4<count> Probability:1.0
Strng:being sick over<count> Count:4<count> Probability:1.0
Strng:being second best<count> Count:4<count> Probability:1.0
Strng:doing yard work<count> Count:4<count> Probability:1.0
Strng:getting soak and<count> Count:4<count> Probability:1.0
Strng:getting blood drawn<count> Count:4<count> Probability:1.0
Strng:getting less than<count> Count:4<count> Probability:1.0
Strng:being lead on<count> Count:4<count> Probability:0.75
Strng:having volleyball practice<count> Count:4<count> Probability:1.0
