Strng:being<count> Count:1362<count> Probability:0.50214225
Strng:getting<count> Count:584<count> Probability:0.39951575
Strng:having<count> Count:332<count> Probability:0.42656448
Strng:waking<count> Count:282<count> Probability:0.77117115
Strng:coming<count> Count:143<count> Probability:0.2906137
Strng:working<count> Count:138<count> Probability:0.46699876
Strng:doing<count> Count:136<count> Probability:0.32091096
Strng:going<count> Count:118<count> Probability:0.24369948
Strng:spending<count> Count:105<count> Probability:0.7116788
Strng:seeing<count> Count:88<count> Probability:0.34406438
Strng:walking<count> Count:83<count> Probability:0.3676815
Strng:sitting<count> Count:82<count> Probability:0.51939654
Strng:people<count> Count:81<count> Probability:0.32411864
Strng:watching<count> Count:77<count> Probability:0.19411765
Strng:feeling<count> Count:74<count> Probability:0.31787175
Strng:waiting<count> Count:65<count> Probability:0.31423897
Strng:hearing<count> Count:60<count> Probability:0.47513813
Strng:taking<count> Count:55<count> Probability:0.2630719
Strng:school<count> Count:47<count> Probability:0.23061551
Strng:reading<count> Count:41<count> Probability:0.29545453
Strng:driving<count> Count:37<count> Probability:0.34364262
Strng:writing<count> Count:36<count> Probability:0.32635984
Strng:staying<count> Count:34<count> Probability:0.27683616
Strng:life<count> Count:32<count> Probability:0.22328289
Strng:living<count> Count:31<count> Probability:0.263285
Strng:listening<count> Count:28<count> Probability:0.20408164
Strng:talking<count> Count:26<count> Probability:0.23364486
Strng:cleaning<count> Count:25<count> Probability:0.49166667
Strng:is<count> Count:24<count> Probability:0.16889367
Strng:running<count> Count:24<count> Probability:0.28851542
Strng:finding<count> Count:24<count> Probability:0.3372093
Strng:love<count> Count:23<count> Probability:0.6899851
Strng:fighting<count> Count:22<count> Probability:0.3015873
Strng:texting<count> Count:21<count> Probability:0.38977635
Strng:making<count> Count:20<count> Probability:0.21967964
Strng:studying<count> Count:20<count> Probability:0.36909872
Strng:playing<count> Count:20<count> Probability:0.14312796
Strng:eating<count> Count:19<count> Probability:0.18387553
Strng:sleeping<count> Count:18<count> Probability:0.26544622
Strng:looking<count> Count:17<count> Probability:0.22621185
Strng:paying<count> Count:17<count> Probability:0.34375
Strng:learning<count> Count:17<count> Probability:0.30813953
Strng:college<count> Count:16<count> Probability:0.37267905
Strng:today<count> Count:16<count> Probability:0.27391875
Strng:starting<count> Count:16<count> Probability:0.24878049
Strng:work<count> Count:16<count> Probability:0.39334086
Strng:knowing<count> Count:16<count> Probability:0.27165353
Strng:crying<count> Count:14<count> Probability:0.21388888
Strng:homework<count> Count:13<count> Probability:0.48185232
Strng:losing<count> Count:12<count> Probability:0.2904412
Strng:buying<count> Count:12<count> Probability:0.22764228
Strng:gettin<count> Count:11<count> Probability:0.38527653
Strng:trying<count> Count:11<count> Probability:0.17800453
Strng:family<count> Count:11<count> Probability:0.2822086
Strng:meeting<count> Count:11<count> Probability:0.26609442
Strng:missing<count> Count:11<count> Probability:0.19202898
Strng:drama<count> Count:11<count> Probability:0.21806854
Strng:rumors<count> Count:10<count> Probability:0.44444445
Strng:tonight<count> Count:10<count> Probability:0.21339114
Strng:smelling<count> Count:9<count> Probability:0.54285717
Strng:shoveling<count> Count:9<count> Probability:0.7692308
Strng:everyone<count> Count:9<count> Probability:0.27338502
Strng:falling<count> Count:9<count> Probability:0.15695067
Strng:math<count> Count:9<count> Probability:0.35877863
Strng:riding<count> Count:9<count> Probability:0.31325302
Strng:dealing<count> Count:8<count> Probability:0.24489796
Strng:bein<count> Count:8<count> Probability:0.49733818
Strng:football<count> Count:8<count> Probability:0.47834274
Strng:have<count> Count:8<count> Probability:0.2054782
Strng:breaking<count> Count:8<count> Probability:0.21276596
Strng:nights<count> Count:8<count> Probability:0.3253012
Strng:throwing<count> Count:8<count> Probability:0.25581396
Strng:hanging<count> Count:8<count> Probability:0.26956522
Strng:days<count> Count:7<count> Probability:0.27805418
Strng:wearing<count> Count:7<count> Probability:0.225
Strng:using<count> Count:7<count> Probability:0.18008475
Strng:wasting<count> Count:7<count> Probability:0.265625
Strng:hitting<count> Count:7<count> Probability:0.24390244
Strng:standing<count> Count:7<count> Probability:0.22335026
Strng:receiving<count> Count:7<count> Probability:0.41666666
Strng:putting<count> Count:6<count> Probability:0.23255815
Strng:nothing<count> Count:6<count> Probability:0.34615386
Strng:sending<count> Count:6<count> Probability:0.20512821
Strng:traffic<count> Count:6<count> Probability:0.49561402
Strng:picking<count> Count:6<count> Probability:0.3030303
Strng:bring<count> Count:5<count> Probability:0.15350224
Strng:peeing<count> Count:5<count> Probability:0.45454547
Strng:setting<count> Count:5<count> Probability:0.2345679
Strng:calling<count> Count:5<count> Probability:0.1904762
Strng:arguing<count> Count:5<count> Probability:0.27419356
Strng:changing<count> Count:5<count> Probability:0.13592233
Strng:traveling<count> Count:5<count> Probability:0.3809524
Strng:saying<count> Count:5<count> Probability:0.20134228
Strng:fire<count> Count:5<count> Probability:0.17790262
Strng:checking<count> Count:5<count> Probability:0.24324325
Strng:giving<count> Count:5<count> Probability:0.15625
Strng:forgetting<count> Count:5<count> Probability:0.30232558
Strng:dropping<count> Count:5<count> Probability:0.18571429
Strng:leaving<count> Count:5<count> Probability:0.19306931
Strng:failing<count> Count:5<count> Probability:0.2631579
Strng:songs<count> Count:5<count> Probability:0.11940298
Strng:rain<count> Count:5<count> Probability:0.36316806
Strng:fixing<count> Count:5<count> Probability:0.36666667
Strng:ending<count> Count:5<count> Probability:0.37848607
Strng:soccer<count> Count:5<count> Probability:0.37244898
Strng:scoring<count> Count:4<count> Probability:0.32142857
Strng:practicing<count> Count:4<count> Probability:0.2820513
Strng:movie<count> Count:4<count> Probability:0.12673056
Strng:burnt<count> Count:4<count> Probability:0.36956522
Strng:hypocrites<count> Count:4<count> Probability:0.7647059
Strng:everything<count> Count:4<count> Probability:0.16525699
Strng:havin<count> Count:4<count> Probability:0.420398
Strng:wakin<count> Count:4<count> Probability:0.76950353
Strng:redoing<count> Count:4<count> Probability:0.6
Strng:liars<count> Count:4<count> Probability:0.07106599
Strng:burning<count> Count:4<count> Probability:0.15384616
Strng:morning<count> Count:4<count> Probability:0.422473
Strng:mornings<count> Count:4<count> Probability:0.61417323
Strng:country<count> Count:4<count> Probability:0.2260062
Strng:cuddling<count> Count:4<count> Probability:0.18181819
Strng:babysitting<count> Count:4<count> Probability:0.6666667
Strng:folding<count> Count:4<count> Probability:0.46666667
Strng:stepping<count> Count:4<count> Probability:0.33333334
Strng:triangle<count> Count:4<count> Probability:0.375
Strng:drinking<count> Count:4<count> Probability:0.18090452
Strng:car<count> Count:4<count> Probability:0.20109151
Strng:been<count> Count:3<count> Probability:0.14673331
Strng:spilling<count> Count:3<count> Probability:0.5
Strng:scratches<count> Count:3<count> Probability:0.45454547
Strng:screwing<count> Count:3<count> Probability:0.90909094
Strng:tweets<count> Count:3<count> Probability:0.31235954
Strng:reviewing<count> Count:3<count> Probability:0.625
Strng:showing<count> Count:3<count> Probability:0.31944445
Strng:tweeting<count> Count:3<count> Probability:0.21985815
Strng:helping<count> Count:3<count> Probability:0.304
Strng:scrolling<count> Count:3<count> Probability:0.1904762
Strng:lying<count> Count:3<count> Probability:0.2109589
Strng:song<count> Count:3<count> Probability:0.10232558
Strng:chasing<count> Count:3<count> Probability:0.125
Strng:field<count> Count:3<count> Probability:0.23245615
Strng:wednesdays<count> Count:3<count> Probability:0.1891892
Strng:finishing<count> Count:3<count> Probability:0.3617021
Strng:snow<count> Count:3<count> Probability:0.10051814
Strng:freaking<count> Count:3<count> Probability:0.31413612
Strng:opening<count> Count:3<count> Probability:0.20353982
Strng:freezing<count> Count:3<count> Probability:0.17224881
Strng:pulling<count> Count:3<count> Probability:0.25490198
Strng:messing<count> Count:3<count> Probability:0.16666667
Strng:shin<count> Count:3<count> Probability:0.16624366
Strng:night<count> Count:3<count> Probability:0.2525603
Strng:algebra<count> Count:3<count> Probability:0.45833334
Strng:laying<count> Count:3<count> Probability:0.14705883
Strng:ppl<count> Count:3<count> Probability:0.15679443
Strng:surprises<count> Count:3<count> Probability:0.33333334
