Token:waking up<delim> Count:280<delim> Probability:0.7906977
Token:being ignored<delim> Count:276<delim> Probability:0.9598214
Token:being sick<delim> Count:124<delim> Probability:0.76258993
Token:coming home<delim> Count:118<delim> Probability:0.7222222
Token:going to<delim> Count:91<delim> Probability:0.2521127
Token:having to<delim> Count:50<delim> Probability:0.5714286
Token:being woken<delim> Count:48<delim> Probability:1.0
Token:spending my<delim> Count:48<delim> Probability:0.9072165
Token:having a<delim> Count:46<delim> Probability:0.38512036
Token:people who<delim> Count:44<delim> Probability:0.27868852
Token:being lied<delim> Count:38<delim> Probability:0.9318182
Token:being home<delim> Count:38<delim> Probability:0.7894737
Token:sitting in<delim> Count:36<delim> Probability:0.5915493
Token:getting up<delim> Count:36<delim> Probability:0.6296296
Token:being called<delim> Count:36<delim> Probability:0.6923077
Token:being up<delim> Count:33<delim> Probability:0.84313726
Token:being told<delim> Count:30<delim> Probability:0.7586207
Token:feeling like<delim> Count:29<delim> Probability:0.4954955
Token:being a<delim> Count:29<delim> Probability:0.45784694
Token:being the<delim> Count:29<delim> Probability:0.57723576
Token:being in<delim> Count:28<delim> Probability:0.4968153
Token:listening to<delim> Count:28<delim> Probability:0.20654912
Token:being stuck<delim> Count:28<delim> Probability:0.83870965
Token:doing homework<delim> Count:26<delim> Probability:0.6712329
Token:being left<delim> Count:26<delim> Probability:0.95238096
Token:working on<delim> Count:25<delim> Probability:0.4915254
Token:getting ignored<delim> Count:24<delim> Probability:1.0
Token:being treated<delim> Count:24<delim> Probability:0.8181818
Token:sitting at<delim> Count:22<delim> Probability:0.8
Token:being at<delim> Count:22<delim> Probability:0.60294116
Token:getting sick<delim> Count:22<delim> Probability:0.45652175
Token:walking home<delim> Count:20<delim> Probability:0.64
Token:being able<delim> Count:20<delim> Probability:0.6699029
Token:being alone<delim> Count:19<delim> Probability:0.6875
Token:getting ditched<delim> Count:18<delim> Probability:0.9166667
Token:living in<delim> Count:18<delim> Probability:0.40789473
Token:being awake<delim> Count:18<delim> Probability:0.9375
Token:getting yelled<delim> Count:18<delim> Probability:0.78571427
Token:getting my<delim> Count:17<delim> Probability:0.4329897
Token:being on<delim> Count:17<delim> Probability:0.51898736
Token:waiting for<delim> Count:17<delim> Probability:0.23809524
Token:taking care<delim> Count:16<delim> Probability:0.5
Token:fighting with<delim> Count:15<delim> Probability:0.6666667
Token:staying up<delim> Count:15<delim> Probability:0.31578946
Token:being ditched<delim> Count:14<delim> Probability:1.0
Token:being talked<delim> Count:14<delim> Probability:1.0
Token:doing nothing<delim> Count:14<delim> Probability:0.67142856
Token:walking to<delim> Count:14<delim> Probability:0.52380955
Token:finding out<delim> Count:14<delim> Probability:0.65217394
Token:talking to<delim> Count:14<delim> Probability:0.27653632
Token:being invited<delim> Count:14<delim> Probability:0.8947368
Token:getting woken<delim> Count:14<delim> Probability:0.7692308
Token:being locked<delim> Count:14<delim> Probability:0.90909094
Token:people that<delim> Count:14<delim> Probability:0.25274727
Token:being single<delim> Count:14<delim> Probability:0.3207547
Token:getting called<delim> Count:14<delim> Probability:0.8181818
Token:having my<delim> Count:13<delim> Probability:0.5614035
Token:working in<delim> Count:13<delim> Probability:0.53333336
Token:being used<delim> Count:12<delim> Probability:0.54545456
Token:writing essays<delim> Count:12<delim> Probability:0.8333333
Token:paying bills<delim> Count:12<delim> Probability:1.0
Token:getting home<delim> Count:12<delim> Probability:0.5769231
Token:starting my<delim> Count:12<delim> Probability:0.6896552
Token:having nothing<delim> Count:12<delim> Probability:0.6666667
Token:getting a<delim> Count:12<delim> Probability:0.3448276
Token:staying home<delim> Count:12<delim> Probability:0.6956522
Token:having no<delim> Count:11<delim> Probability:0.5625
Token:getting {number}<delim> Count:11<delim> Probability:0.01
Token:coming to<delim> Count:11<delim> Probability:0.25373134
Token:getting ready<delim> Count:10<delim> Probability:0.39240506
Token:being forced<delim> Count:10<delim> Probability:0.61538464
Token:getting off<delim> Count:10<delim> Probability:0.64
Token:looking at<delim> Count:10<delim> Probability:0.17307693
Token:learning about<delim> Count:10<delim> Probability:0.6785714
Token:waiting in<delim> Count:10<delim> Probability:0.8125
Token:watching the<delim> Count:10<delim> Probability:0.22169812
Token:working {number}<delim> Count:9<delim> Probability:0.01
Token:walking into<delim> Count:9<delim> Probability:0.7647059
Token:spending time<delim> Count:8<delim> Probability:0.5263158
Token:having practice<delim> Count:8<delim> Probability:1.0
Token:seeing people<delim> Count:8<delim> Probability:0.34615386
Token:hearing about<delim> Count:8<delim> Probability:0.7692308
Token:dealing with<delim> Count:8<delim> Probability:0.25
Token:being reminded<delim> Count:8<delim> Probability:1.0
Token:getting invited<delim> Count:8<delim> Probability:1.0
Token:having the<delim> Count:8<delim> Probability:0.41975307
Token:walking in<delim> Count:8<delim> Probability:0.52272725
Token:spending {number}<delim> Count:8<delim> Probability:0.01
Token:getting made<delim> Count:8<delim> Probability:1.0
Token:working doubles<delim> Count:8<delim> Probability:1.0
Token:texting people<delim> Count:8<delim> Probability:0.3846154
Token:getting hit<delim> Count:8<delim> Probability:0.6666667
Token:being late<delim> Count:8<delim> Probability:0.7692308
Token:throwing up<delim> Count:8<delim> Probability:0.42857143
Token:being an<delim> Count:8<delim> Probability:0.33333334
Token:getting screwed<delim> Count:8<delim> Probability:0.75
Token:being taken<delim> Count:8<delim> Probability:0.46153846
Token:hearing my<delim> Count:8<delim> Probability:0.7777778
Token:getting blown<delim> Count:8<delim> Probability:0.8
Token:being woke<delim> Count:8<delim> Probability:0.9189189
Token:doing {number}<delim> Count:7<delim> Probability:0.01
Token:studying for<delim> Count:7<delim> Probability:0.5
Token:driving in<delim> Count:7<delim> Probability:0.4074074
Token:hearing the<delim> Count:7<delim> Probability:0.5625
Token:hanging out<delim> Count:7<delim> Probability:0.5084746
Token:trying to<delim> Count:7<delim> Probability:0.18067227
Token:working with<delim> Count:6<delim> Probability:0.34285715
Token:doing math<delim> Count:6<delim> Probability:0.75
Token:getting bad<delim> Count:6<delim> Probability:0.6666667
Token:having bad<delim> Count:6<delim> Probability:0.5
Token:taking tests<delim> Count:6<delim> Probability:1.0
Token:being yelled<delim> Count:6<delim> Probability:0.7777778
Token:texting someone<delim> Count:6<delim> Probability:0.7692308
Token:running late<delim> Count:6<delim> Probability:0.57894737
Token:getting kicked<delim> Count:6<delim> Probability:1.0
Token:working until<delim> Count:6<delim> Probability:1.0
Token:being surrounded<delim> Count:6<delim> Probability:0.8333333
Token:smelling like<delim> Count:6<delim> Probability:0.71428573
Token:getting locked<delim> Count:6<delim> Probability:1.0
Token:doing laundry<delim> Count:6<delim> Probability:0.84615386
Token:getting played<delim> Count:6<delim> Probability:0.5555556
