Token:waking up at<delim> Count:72<delim> Probability:0.84444445
Token:coming home to<delim> Count:62<delim> Probability:0.8
Token:waking up to<delim> Count:47<delim> Probability:0.8111111
Token:being woken up<delim> Count:44<delim> Probability:1.0
Token:waking up early<delim> Count:43<delim> Probability:0.91071427
Token:being lied to<delim> Count:28<delim> Probability:0.9318182
Token:being ignored by<delim> Count:26<delim> Probability:0.8947368
Token:being home alone<delim> Count:22<delim> Probability:0.875
Token:going to the<delim> Count:21<delim> Probability:0.33802816
Token:being treated like<delim> Count:20<delim> Probability:0.875
Token:coming home and<delim> Count:20<delim> Probability:0.84615386
Token:being able to<delim> Count:20<delim> Probability:0.67156863
Token:being ignored it's<delim> Count:18<delim> Probability:1.0
Token:getting yelled at<delim> Count:18<delim> Probability:0.84615386
Token:sitting at home<delim> Count:17<delim> Probability:0.94736844
Token:waking up in<delim> Count:17<delim> Probability:0.7027027
Token:taking care of<delim> Count:16<delim> Probability:0.5294118
Token:coming home from<delim> Count:16<delim> Probability:0.6956522
Token:getting woken up<delim> Count:14<delim> Probability:0.7692308
Token:going to bed<delim> Count:14<delim> Probability:0.255
Token:being stuck in<delim> Count:14<delim> Probability:1.0
Token:waking up and<delim> Count:12<delim> Probability:0.84615386
Token:getting up at<delim> Count:12<delim> Probability:0.75
Token:being in the<delim> Count:12<delim> Probability:0.5862069
Token:being sick and<delim> Count:12<delim> Probability:0.8
Token:being called a<delim> Count:12<delim> Probability:0.8333333
Token:having nothing to<delim> Count:12<delim> Probability:0.875
Token:getting up early<delim> Count:12<delim> Probability:0.92
Token:being left out<delim> Count:12<delim> Probability:1.0
Token:being up at<delim> Count:11<delim> Probability:0.9285714
Token:being ignored makes<delim> Count:10<delim> Probability:1.0
Token:being talked to<delim> Count:10<delim> Probability:1.0
Token:being ignored i<delim> Count:10<delim> Probability:0.93939394
Token:being locked out<delim> Count:10<delim> Probability:0.9
Token:walking home in<delim> Count:10<delim> Probability:1.0
Token:being ignored best<delim> Count:10<delim> Probability:1.0
Token:doing nothing on<delim> Count:10<delim> Probability:1.0
Token:waking up with<delim> Count:10<delim> Probability:0.7083333
Token:being forced to<delim> Count:10<delim> Probability:0.6666667
Token:going to sleep<delim> Count:10<delim> Probability:0.17857143
Token:going to work<delim> Count:9<delim> Probability:0.53333336
Token:waking up {number}<delim> Count:9<delim> Probability:0.01
Token:being up this<delim> Count:9<delim> Probability:0.7692308
Token:being the only<delim> Count:9<delim> Probability:0.875
Token:waking up for<delim> Count:9<delim> Probability:0.71428573
Token:starting my day<delim> Count:9<delim> Probability:0.9285714
Token:going to school<delim> Count:8<delim> Probability:0.21428572
Token:being left alone<delim> Count:8<delim> Probability:1.0
Token:getting blown off<delim> Count:8<delim> Probability:1.0
Token:being awake at<delim> Count:8<delim> Probability:1.0
Token:being invited places<delim> Count:8<delim> Probability:1.0
Token:living in the<delim> Count:8<delim> Probability:0.5416667
Token:being at the<delim> Count:8<delim> Probability:0.5555556
