Token:being<delim> Count:1362<delim> Probability:0.50214225
Token:getting<delim> Count:584<delim> Probability:0.39951575
Token:having<delim> Count:332<delim> Probability:0.42656448
Token:waking<delim> Count:282<delim> Probability:0.77117115
Token:coming<delim> Count:143<delim> Probability:0.2906137
Token:working<delim> Count:138<delim> Probability:0.46699876
Token:doing<delim> Count:136<delim> Probability:0.32091096
Token:going<delim> Count:118<delim> Probability:0.24369948
Token:spending<delim> Count:105<delim> Probability:0.7116788
Token:seeing<delim> Count:88<delim> Probability:0.34406438
Token:walking<delim> Count:83<delim> Probability:0.3676815
Token:sitting<delim> Count:82<delim> Probability:0.51939654
Token:people<delim> Count:81<delim> Probability:0.32411864
Token:watching<delim> Count:77<delim> Probability:0.19411765
Token:feeling<delim> Count:74<delim> Probability:0.31787175
Token:waiting<delim> Count:65<delim> Probability:0.31423897
Token:hearing<delim> Count:60<delim> Probability:0.47513813
Token:taking<delim> Count:55<delim> Probability:0.2630719
Token:school<delim> Count:47<delim> Probability:0.23061551
Token:reading<delim> Count:41<delim> Probability:0.29545453
Token:driving<delim> Count:37<delim> Probability:0.34364262
Token:writing<delim> Count:36<delim> Probability:0.32635984
Token:staying<delim> Count:34<delim> Probability:0.27683616
Token:life<delim> Count:32<delim> Probability:0.22328289
Token:living<delim> Count:31<delim> Probability:0.263285
Token:listening<delim> Count:28<delim> Probability:0.20408164
Token:talking<delim> Count:26<delim> Probability:0.23364486
Token:cleaning<delim> Count:25<delim> Probability:0.49166667
Token:is<delim> Count:24<delim> Probability:0.16889367
Token:running<delim> Count:24<delim> Probability:0.28851542
Token:finding<delim> Count:24<delim> Probability:0.3372093
Token:love<delim> Count:23<delim> Probability:0.6899851
Token:fighting<delim> Count:22<delim> Probability:0.3015873
Token:texting<delim> Count:21<delim> Probability:0.38977635
Token:making<delim> Count:20<delim> Probability:0.21967964
Token:studying<delim> Count:20<delim> Probability:0.36909872
Token:playing<delim> Count:20<delim> Probability:0.14312796
Token:eating<delim> Count:19<delim> Probability:0.18387553
Token:sleeping<delim> Count:18<delim> Probability:0.26544622
Token:looking<delim> Count:17<delim> Probability:0.22621185
Token:paying<delim> Count:17<delim> Probability:0.34375
Token:learning<delim> Count:17<delim> Probability:0.30813953
Token:college<delim> Count:16<delim> Probability:0.37267905
Token:today<delim> Count:16<delim> Probability:0.27391875
Token:starting<delim> Count:16<delim> Probability:0.24878049
Token:work<delim> Count:16<delim> Probability:0.39334086
Token:knowing<delim> Count:16<delim> Probability:0.27165353
Token:crying<delim> Count:14<delim> Probability:0.21388888
Token:homework<delim> Count:13<delim> Probability:0.48185232
Token:losing<delim> Count:12<delim> Probability:0.2904412
Token:buying<delim> Count:12<delim> Probability:0.22764228
Token:gettin<delim> Count:11<delim> Probability:0.38527653
Token:trying<delim> Count:11<delim> Probability:0.17800453
Token:family<delim> Count:11<delim> Probability:0.2822086
Token:meeting<delim> Count:11<delim> Probability:0.26609442
Token:missing<delim> Count:11<delim> Probability:0.19202898
Token:drama<delim> Count:11<delim> Probability:0.21806854
Token:rumors<delim> Count:10<delim> Probability:0.44444445
Token:tonight<delim> Count:10<delim> Probability:0.21339114
Token:smelling<delim> Count:9<delim> Probability:0.54285717
Token:shoveling<delim> Count:9<delim> Probability:0.7692308
Token:everyone<delim> Count:9<delim> Probability:0.27338502
Token:falling<delim> Count:9<delim> Probability:0.15695067
Token:math<delim> Count:9<delim> Probability:0.35877863
Token:riding<delim> Count:9<delim> Probability:0.31325302
Token:dealing<delim> Count:8<delim> Probability:0.24489796
Token:bein<delim> Count:8<delim> Probability:0.49733818
Token:football<delim> Count:8<delim> Probability:0.47834274
Token:have<delim> Count:8<delim> Probability:0.2054782
Token:breaking<delim> Count:8<delim> Probability:0.21276596
Token:nights<delim> Count:8<delim> Probability:0.3253012
Token:throwing<delim> Count:8<delim> Probability:0.25581396
Token:hanging<delim> Count:8<delim> Probability:0.26956522
Token:days<delim> Count:7<delim> Probability:0.27805418
Token:wearing<delim> Count:7<delim> Probability:0.225
Token:using<delim> Count:7<delim> Probability:0.18008475
Token:wasting<delim> Count:7<delim> Probability:0.265625
Token:hitting<delim> Count:7<delim> Probability:0.24390244
Token:standing<delim> Count:7<delim> Probability:0.22335026
Token:receiving<delim> Count:7<delim> Probability:0.41666666
Token:putting<delim> Count:6<delim> Probability:0.23255815
Token:nothing<delim> Count:6<delim> Probability:0.34615386
Token:sending<delim> Count:6<delim> Probability:0.20512821
Token:traffic<delim> Count:6<delim> Probability:0.49561402
Token:picking<delim> Count:6<delim> Probability:0.3030303
Token:bring<delim> Count:5<delim> Probability:0.15350224
Token:peeing<delim> Count:5<delim> Probability:0.45454547
Token:setting<delim> Count:5<delim> Probability:0.2345679
Token:calling<delim> Count:5<delim> Probability:0.1904762
Token:arguing<delim> Count:5<delim> Probability:0.27419356
Token:changing<delim> Count:5<delim> Probability:0.13592233
Token:traveling<delim> Count:5<delim> Probability:0.3809524
Token:saying<delim> Count:5<delim> Probability:0.20134228
Token:fire<delim> Count:5<delim> Probability:0.17790262
Token:checking<delim> Count:5<delim> Probability:0.24324325
Token:giving<delim> Count:5<delim> Probability:0.15625
Token:forgetting<delim> Count:5<delim> Probability:0.30232558
Token:dropping<delim> Count:5<delim> Probability:0.18571429
Token:leaving<delim> Count:5<delim> Probability:0.19306931
Token:failing<delim> Count:5<delim> Probability:0.2631579
Token:songs<delim> Count:5<delim> Probability:0.11940298
Token:rain<delim> Count:5<delim> Probability:0.36316806
Token:fixing<delim> Count:5<delim> Probability:0.36666667
Token:ending<delim> Count:5<delim> Probability:0.37848607
Token:soccer<delim> Count:5<delim> Probability:0.37244898
Token:scoring<delim> Count:4<delim> Probability:0.32142857
Token:practicing<delim> Count:4<delim> Probability:0.2820513
Token:movie<delim> Count:4<delim> Probability:0.12673056
Token:burnt<delim> Count:4<delim> Probability:0.36956522
Token:hypocrites<delim> Count:4<delim> Probability:0.7647059
Token:everything<delim> Count:4<delim> Probability:0.16525699
Token:havin<delim> Count:4<delim> Probability:0.420398
Token:wakin<delim> Count:4<delim> Probability:0.76950353
Token:redoing<delim> Count:4<delim> Probability:0.6
Token:liars<delim> Count:4<delim> Probability:0.07106599
Token:burning<delim> Count:4<delim> Probability:0.15384616
Token:morning<delim> Count:4<delim> Probability:0.422473
Token:mornings<delim> Count:4<delim> Probability:0.61417323
Token:country<delim> Count:4<delim> Probability:0.2260062
Token:cuddling<delim> Count:4<delim> Probability:0.18181819
Token:babysitting<delim> Count:4<delim> Probability:0.6666667
Token:folding<delim> Count:4<delim> Probability:0.46666667
Token:stepping<delim> Count:4<delim> Probability:0.33333334
Token:triangle<delim> Count:4<delim> Probability:0.375
Token:drinking<delim> Count:4<delim> Probability:0.18090452
Token:car<delim> Count:4<delim> Probability:0.20109151
Token:been<delim> Count:3<delim> Probability:0.14673331
Token:spilling<delim> Count:3<delim> Probability:0.5
Token:scratches<delim> Count:3<delim> Probability:0.45454547
Token:screwing<delim> Count:3<delim> Probability:0.90909094
Token:tweets<delim> Count:3<delim> Probability:0.31235954
Token:reviewing<delim> Count:3<delim> Probability:0.625
Token:showing<delim> Count:3<delim> Probability:0.31944445
Token:tweeting<delim> Count:3<delim> Probability:0.21985815
Token:helping<delim> Count:3<delim> Probability:0.304
Token:scrolling<delim> Count:3<delim> Probability:0.1904762
Token:lying<delim> Count:3<delim> Probability:0.2109589
Token:song<delim> Count:3<delim> Probability:0.10232558
Token:chasing<delim> Count:3<delim> Probability:0.125
Token:field<delim> Count:3<delim> Probability:0.23245615
Token:wednesdays<delim> Count:3<delim> Probability:0.1891892
Token:finishing<delim> Count:3<delim> Probability:0.3617021
Token:snow<delim> Count:3<delim> Probability:0.10051814
Token:freaking<delim> Count:3<delim> Probability:0.31413612
Token:opening<delim> Count:3<delim> Probability:0.20353982
Token:freezing<delim> Count:3<delim> Probability:0.17224881
Token:pulling<delim> Count:3<delim> Probability:0.25490198
Token:messing<delim> Count:3<delim> Probability:0.16666667
Token:shin<delim> Count:3<delim> Probability:0.16624366
Token:night<delim> Count:3<delim> Probability:0.2525603
Token:algebra<delim> Count:3<delim> Probability:0.45833334
Token:laying<delim> Count:3<delim> Probability:0.14705883
Token:ppl<delim> Count:3<delim> Probability:0.15679443
Token:surprises<delim> Count:3<delim> Probability:0.33333334
Token:filling<delim> Count:3<delim> Probability:0.41666666
Token:sharing<delim> Count:3<delim> Probability:0.16455697
Token:hurting<delim> Count:3<delim> Probability:0.19354838
Token:passing<delim> Count:3<delim> Probability:0.22413793
Token:closing<delim> Count:3<delim> Probability:0.36363637
Token:biology<delim> Count:3<delim> Probability:0.4698795
Token:phone<delim> Count:3<delim> Probability:0.22333637
Token:canceling<delim> Count:3<delim> Probability:0.6
Token:physics<delim> Count:3<delim> Probability:0.36734694
Token:digging<delim> Count:3<delim> Probability:0.25
Token:group<delim> Count:3<delim> Probability:0.21753247
Token:tax<delim> Count:3<delim> Probability:0.29891303
Token:history<delim> Count:3<delim> Probability:0.22186495
Token:sounding<delim> Count:3<delim> Probability:0.4
Token:everybody<delim> Count:3<delim> Probability:0.112026356
Token:winter<delim> Count:3<delim> Probability:0.09589041
Token:wildlife<delim> Count:3<delim> Probability:0.27272728
Token:posting<delim> Count:3<delim> Probability:0.24050634
Token:rush<delim> Count:3<delim> Probability:0.1764706
Token:washing<delim> Count:3<delim> Probability:0.1292517
Token:someone<delim> Count:3<delim> Probability:0.19498725
Token:sweating<delim> Count:3<delim> Probability:0.47368422
Token:greeting<delim> Count:2<delim> Probability:0.0625
Token:shooting<delim> Count:2<delim> Probability:0.055172414
