Strng:a<count> Count:168935<count> Probability:0.20658241
Strng:o<count> Count:168674<count> Probability:0.20252083
Strng:i<count> Count:167318<count> Probability:0.19856203
Strng:n<count> Count:165207<count> Probability:0.19671685
Strng:s<count> Count:164253<count> Probability:0.21247101
Strng:r<count> Count:160074<count> Probability:0.21801792
Strng:l<count> Count:146849<count> Probability:0.20971201
Strng:m<count> Count:146412<count> Probability:0.23836161
Strng:u<count> Count:137575<count> Probability:0.19369072
Strng:d<count> Count:135377<count> Probability:0.19118463
Strng:c<count> Count:129525<count> Probability:0.26943833
Strng:b<count> Count:109569<count> Probability:0.1796311
Strng:in<count> Count:104142<count> Probability:0.20662172
Strng:he<count> Count:89467<count> Probability:0.20009613
Strng:k<count> Count:87339<count> Probability:0.1968422
Strng:an<count> Count:79004<count> Probability:0.18124399
Strng:on<count> Count:74222<count> Probability:0.18008138
Strng:re<count> Count:73157<count> Probability:0.20252334
Strng:to<count> Count:67804<count> Probability:0.19905905
Strng:as<count> Count:67491<count> Probability:0.51709116
Strng:at<count> Count:66712<count> Probability:0.20685934
Strng:#<count> Count:66626<count> Probability:0.52348936
Strng:the<count> Count:64594<count> Probability:0.19822274
Strng:ha<count> Count:64471<count> Probability:0.20348684
Strng:it<count> Count:62075<count> Probability:0.20085381
Strng:be<count> Count:61054<count> Probability:0.18355882
Strng:or<count> Count:57742<count> Probability:0.21526791
Strng:me<count> Count:57256<count> Probability:0.19423293
Strng:is<count> Count:52986<count> Probability:0.16889367
Strng:no<count> Count:39014<count> Probability:0.21587123
Strng:so<count> Count:35599<count> Probability:0.2244726
Strng:sarcasm<count> Count:34899<count> Probability:1.0
Strng:ch<count> Count:34819<count> Probability:0.18303226
Strng:my<count> Count:33349<count> Probability:0.22189571
Strng:and<count> Count:33256<count> Probability:0.18041857
Strng:you<count> Count:32934<count> Probability:0.21139248
Strng:go<count> Count:31082<count> Probability:0.1918152
Strng:um<count> Count:30939<count> Probability:0.16432334
Strng:do<count> Count:29341<count> Probability:0.19477864
Strng:we<count> Count:28427<count> Probability:0.2184191
Strng:ur<count> Count:28238<count> Probability:0.20911537
Strng:j<count> Count:27960<count> Probability:0.2318312
Strng:of<count> Count:27457<count> Probability:0.20209782
Strng:all<count> Count:26061<count> Probability:0.22735122
Strng:number<count> Count:25834<count> Probability:0.16288611
Strng:{number}<count> Count:25539<count> Probability:0.1630056
Strng:mo<count> Count:24572<count> Probability:0.20120463
Strng:il<count> Count:24281<count> Probability:0.15073514
Strng:am<count> Count:24024<count> Probability:0.16812354
Strng:for<count> Count:23847<count> Probability:0.20916677
Strng:rt<count> Count:22123<count> Probability:0.15160693
Strng:un<count> Count:21646<count> Probability:0.18927285
Strng:her<count> Count:21009<count> Probability:0.16174021
Strng:im<count> Count:19318<count> Probability:0.14577079
Strng:one<count> Count:19210<count> Probability:0.18219677
Strng:that<count> Count:19006<count> Probability:0.22482374
Strng:out<count> Count:18166<count> Probability:0.18292415
Strng:his<count> Count:17646<count> Probability:0.17528051
Strng:if<count> Count:15511<count> Probability:0.14905551
Strng:day<count> Count:15135<count> Probability:0.3034688
Strng:our<count> Count:15050<count> Probability:0.22823921
Strng:this<count> Count:15008<count> Probability:0.18336888
Strng:up<count> Count:14941<count> Probability:0.22622314
Strng:just<count> Count:14750<count> Probability:0.3078644
Strng:not<count> Count:14053<count> Probability:0.25332668
Strng:now<count> Count:13933<count> Probability:0.1789995
Strng:ever<count> Count:13536<count> Probability:0.19540484
Strng:are<count> Count:13185<count> Probability:0.20902541
Strng:get<count> Count:13148<count> Probability:0.22071798
Strng:with<count> Count:13000<count> Probability:0.16546154
Strng:can<count> Count:12914<count> Probability:0.18375407
Strng:ill<count> Count:12427<count> Probability:0.14460449
Strng:when<count> Count:11912<count> Probability:0.36761248
Strng:ok<count> Count:11367<count> Probability:0.19477434
Strng:i'm<count> Count:11146<count> Probability:0.1981877
Strng:have<count> Count:11062<count> Probability:0.2054782
Strng:ex<count> Count:11003<count> Probability:0.2541125
Strng:like<count> Count:10900<count> Probability:0.17155963
Strng:how<count> Count:10759<count> Probability:0.31387675
Strng:thing<count> Count:10220<count> Probability:0.22172211
Strng:end<count> Count:10197<count> Probability:0.21937825
Strng:some<count> Count:10014<count> Probability:0.20311564
Strng:here<count> Count:9718<count> Probability:0.15260342
Strng:eat<count> Count:9452<count> Probability:0.29380026
Strng:but<count> Count:9362<count> Probability:0.11589404
Strng:your<count> Count:9191<count> Probability:0.19671418
Strng:ah<count> Count:8827<count> Probability:0.21921377
Strng:what<count> Count:8597<count> Probability:0.18692566
Strng:sp<count> Count:8423<count> Probability:0.19874154
Strng:sho<count> Count:8007<count> Probability:0.18371426
Strng:got<count> Count:7876<count> Probability:0.17673945
Strng:use<count> Count:7867<count> Probability:0.19600864
Strng:was<count> Count:7748<count> Probability:0.1803046
Strng:ive<count> Count:7699<count> Probability:0.16872321
Strng:real<count> Count:7663<count> Probability:0.24859716
Strng:way<count> Count:7524<count> Probability:0.21238703
Strng:ks<count> Count:7520<count> Probability:0.2807181
Strng:bout<count> Count:7321<count> Probability:0.18972819
Strng:don't<count> Count:7310<count> Probability:0.20848154
Strng:ass<count> Count:7198<count> Probability:0.23742706
Strng:time<count> Count:7172<count> Probability:0.18335192
Strng:aw<count> Count:7079<count> Probability:0.24311343
Strng:every<count> Count:6581<count> Probability:0.20635162
Strng:min<count> Count:6549<count> Probability:0.18323408
Strng:pro<count> Count:6521<count> Probability:0.18417421
Strng:man<count> Count:6476<count> Probability:0.1363496
Strng:by<count> Count:6462<count> Probability:0.14035903
Strng:know<count> Count:6459<count> Probability:0.2077721
Strng:people<count> Count:6439<count> Probability:0.32411864
Strng:about<count> Count:6407<count> Probability:0.21055096
Strng:any<count> Count:6329<count> Probability:0.16985306
Strng:tho<count> Count:6073<count> Probability:0.16910917
Strng:app<count> Count:6068<count> Probability:0.18127884
